	log2FoldChange	pvalue	padj
ENSG00000145920	5.86949138564312	7.19613997221881e-10	1.99109996891322e-05
ENSG00000114757	4.89189087168897	1.47205430712288e-09	2.03651353118915e-05
ENSG00000075035	3.35939355875186	5.81874016617844e-09	5.36662405526638e-05
ENSG00000141837	2.97334002710654	1.1794029198025e-07	0.000815822484700385
ENSG00000165799	-5.6827258334701	1.58540636213538e-07	0.000877332172678476
ENSG00000189001	-5.56608219876921	2.11802315984049e-07	0.000976726380160442
ENSG00000143546	-3.58830289188733	3.97600751124408e-07	0.00157160216898018
ENSG00000153253	2.80364069949979	5.18594820336806e-07	0.00179362501048738
ENSG00000196361	4.94079272302658	9.53587344963418e-07	0.0028162202319138
ENSG00000211459	-3.42090221520127	1.01782508652781e-06	0.0028162202319138
ENSG00000210082	-3.45285816847895	1.88116697919385e-06	0.00473181901339223
ENSG00000163216	-5.76526047606139	2.09293821195306e-06	0.00482579228221077
ENSG00000169509	-7.86249965817156	3.19958664086379e-06	0.00608126351910663
ENSG00000176165	-4.72622350598136	3.29679253990384e-06	0.00608126351910663
ENSG00000140519	-5.1576224909851	3.24837844066291e-06	0.00608126351910663
ENSG00000204539	-3.69386995932749	4.9289973234168e-06	0.00852377668385122
ENSG00000165566	4.09140678045435	6.02789433482758e-06	0.0092658782416858
ENSG00000166396	-4.02498586869124	5.849642186034e-06	0.0092658782416858
ENSG00000259370	-2.93089961497773	9.59404665467337e-06	0.0139714566783241
ENSG00000132639	2.34988181741545	1.26207177019194e-05	0.0174601319047203
ENSG00000135824	3.13408063683013	1.68813149540299e-05	0.0212313228846843
ENSG00000127831	2.79157328689183	1.67319996533019e-05	0.0212313228846843
ENSG00000188508	-5.71906768805706	1.81034978047362e-05	0.0217785078590977
ENSG00000198216	2.33604052412747	2.46050820549581e-05	0.0257732388039759
ENSG00000184144	3.44595371668614	2.42679879444434e-05	0.0257732388039759
ENSG00000137261	2.14142008364107	2.29127959962801e-05	0.0257732388039759
ENSG00000110680	4.56254532389304	2.51500758143536e-05	0.0257732388039759
ENSG00000203785	-5.56096039065172	2.94277474313593e-05	0.028312871256556
ENSG00000089199	2.98094362685266	2.9674844282053e-05	0.028312871256556
ENSG00000241794	-5.17594648123689	3.66128185117205e-05	0.0337680025133598
ENSG00000163207	-3.90644091226438	4.3085787907962e-05	0.0384561505040452
ENSG00000183979	2.04772657136598	4.53115799601706e-05	0.0391789408099362
ENSG00000135374	-2.50631698088074	4.91515198769622e-05	0.0412113152568384
ENSG00000105427	-2.97636369857467	6.15688929860929e-05	0.0501044029421237
ENSG00000164744	-3.30688197280088	6.56542663052224e-05	0.0519025112685485
ENSG00000261175	-3.41606405218502	7.01112912076537e-05	0.0538863699006825
ENSG00000159516	-7.5915338191565	8.84780469001134e-05	0.0627717712738266
ENSG00000204538	-4.5691512524548	8.66033733153347e-05	0.0627717712738266
ENSG00000176343	-7.1537759375249	8.45991089156239e-05	0.0627717712738266
ENSG00000144834	2.75319434744493	9.60101637522983e-05	0.0664126305215586
ENSG00000254944	1.63667537939441	0.000111291473275723	0.0747730680545837
ENSG00000235884	-1.67410744677522	0.000113501350185858	0.0747730680545837
ENSG00000198848	2.49121345241152	0.000118892640176859	0.0765032665361282
ENSG00000103449	2.87373925438363	0.000133374738346817	0.0838714917117744
ENSG00000116544	1.70503479311307	0.000146162609783301	0.0861057682981769
ENSG00000115008	-2.70124554237779	0.000146263728722191	0.0861057682981769
ENSG00000134760	-4.57989730689633	0.000140199024281356	0.0861057682981769
ENSG00000104368	-1.3212028767288	0.000155894989336582	0.0898637179157063
ENSG00000253301	4.09632369292101	0.000166824974379264	0.0942016370632622
ENSG00000143520	-3.55687743255658	0.000176464254355831	0.0962422708694529
ENSG00000163220	-2.55590589611966	0.000180873832997635	0.0962422708694529
ENSG00000264425	-1.68084379758069	0.000177570565835741	0.0962422708694529
ENSG00000283227	-7.33569730987525	0.000187422614669793	0.0978452136848772
ENSG00000136872	-4.23390284810214	0.000201386517809224	0.0981896038292238
ENSG00000175065	-5.38213023848966	0.000202277184512117	0.0981896038292238
ENSG00000267013	-2.13493148495284	0.000200858443272277	0.0981896038292238
ENSG00000184571	-4.95466861870508	0.000198576937183304	0.0981896038292238
ENSG00000227925	-2.38022967884756	0.000210852000247205	0.0999759955129371
ENSG00000204434	-3.48848929085184	0.000217053298808122	0.0999759955129371
ENSG00000203645	-3.81645888551779	0.000220410413324991	0.0999759955129371
ENSG00000107147	2.37084395573002	0.000216823189392281	0.0999759955129371
ENSG00000129159	2.76371138016114	0.000244779696801532	0.109238861787122
ENSG00000232034	-0.998227396713621	0.000252583159075141	0.110932117911906
ENSG00000270641	-2.45995682142325	0.000275785904035481	0.11923000279309
ENSG00000169474	-4.7565316543212	0.000286637947688609	0.120166445069638
ENSG00000170485	-0.912451710096405	0.000285114853647109	0.120166445069638
ENSG00000179133	2.10935931621898	0.00029563726318502	0.122089364702483
ENSG00000127578	1.27912346288866	0.000305384688582543	0.124260131593976
ENSG00000204969	2.71866745444029	0.00033674600997942	0.133106076430294
ENSG00000142549	-2.67464699316237	0.000333028839288167	0.133106076430294
ENSG00000169469	-3.92197790085851	0.000345562944184895	0.13466733947397
ENSG00000173404	3.29592389654667	0.00039923502750433	0.153422694111352
ENSG00000175121	-3.4094127447023	0.000405309001298381	0.153623215848287
ENSG00000162687	1.34041227519426	0.000417380062408064	0.156060661442821
ENSG00000184148	-6.71197840262828	0.000424717817018871	0.156686897054602
ENSG00000100433	2.871322957977	0.000432414524008384	0.157427335063
ENSG00000256618	-5.8557679049211	0.000441287136874207	0.158571088184058
ENSG00000137948	-4.75445606130748	0.000460368111156763	0.163306734199955
ENSG00000009765	2.31056857214804	0.000471329965504718	0.165078845766456
ENSG00000224479	1.34106835793338	0.000499701613878426	0.169314677068336
ENSG00000086696	-2.21587793133083	0.000501781904644315	0.169314677068336
ENSG00000100302	1.1931873361418	0.000493187649171812	0.169314677068336
ENSG00000126838	1.7361006883242	0.000543709468769911	0.181251774595116
ENSG00000155816	2.06122019906412	0.000599915739452209	0.185884140667211
ENSG00000207195	-1.69685198122589	0.000602017144771802	0.185884140667211
ENSG00000138829	-1.99499073275991	0.000601154924661249	0.185884140667211
ENSG00000233913	-2.39572373727247	0.000590855995988173	0.185884140667211
ENSG00000147485	1.36230887259937	0.000588151826093884	0.185884140667211
ENSG00000122133	-3.4529181849166	0.000578616531692198	0.185884140667211
ENSG00000124102	-3.3152325497794	0.000604632356068125	0.185884140667211
ENSG00000089723	-1.06147726798987	0.000619527061769634	0.188370266726418
ENSG00000268621	-3.28660110707905	0.000632655698510769	0.190271201327114
ENSG00000244921	-2.8322205631966	0.000668356980112294	0.1988469815347
ENSG00000106772	1.15762900104659	0.000695532423778594	0.202899833859097
ENSG00000162078	-1.82356745941267	0.000696645495558721	0.202899833859097
ENSG00000248121	1.23039606930026	0.000722237654519923	0.208162433988664
ENSG00000107295	3.66441957999138	0.000755398405781256	0.215475448345995
ENSG00000168843	3.72079087111166	0.000766743004656546	0.216479716284102
