logFC	P.Value	adj.P.Val	sig_adjP_lfc1	sig_pval_lfc1	sig_adjP_lfc2	sig_pval_lfc2	sig_adjP_lfc3	sig_pval_lfc3
RFK	-0.909510736525532	0.019099889146245	0.921420583877252	-	-	-	-	-	-
SMARCA5	-0.723416308823583	0.0201775387310121	0.921420583877252	-	-	-	-	-	-
PLCD1	0.517134816200606	0.0202191489970275	0.921420583877252	-	-	-	-	-	-
SLC41A3	0.67034761703214	0.0204690607580731	0.921420583877252	-	-	-	-	-	-
THOC7	0.55765734366204	0.020684817929626	0.921420583877252	-	-	-	-	-	-
FURIN	-0.457886334475464	0.0208144128950006	0.921420583877252	-	-	-	-	-	-
GCN1	0.63364829110775	0.0210341450047049	0.921420583877252	-	-	-	-	-	-
TRAPPC6A	0.891726350119688	0.021243533597752	0.921420583877252	-	-	-	-	-	-
MXRA7	0.760567015552199	0.0216691401285042	0.921420583877252	-	-	-	-	-	-
NUDT21	-0.859752323447443	0.0217122717280245	0.921420583877252	-	-	-	-	-	-
KRT8	-0.985609325700802	0.0218424411858129	0.921420583877252	-	-	-	-	-	-
PSRC1	-1.11133686495149	0.0219228372470705	0.921420583877252	-	+	-	-	-	-
DDX46	-0.420330783425079	0.0219659721068673	0.921420583877252	-	-	-	-	-	-
CCDC92	0.658661606848224	0.0224536049203403	0.921420583877252	-	-	-	-	-	-
CHD8	-0.792089058172251	0.0225904420676602	0.921420583877252	-	-	-	-	-	-
GLRX5	0.58216815151907	0.0227491676113424	0.921420583877252	-	-	-	-	-	-
ARMCX3	-0.729642903625927	0.0228069084961769	0.921420583877252	-	-	-	-	-	-
TDRD7	-0.856709228103866	0.0229711960900234	0.921420583877252	-	-	-	-	-	-
HDLBP	0.385933613046986	0.0230751885746066	0.921420583877252	-	-	-	-	-	-
GALNT7	-0.835139985313691	0.0231794353993434	0.921420583877252	-	-	-	-	-	-
RIPK2	-0.861847719033705	0.0233509515754973	0.921420583877252	-	-	-	-	-	-
SDF2L1	-1.00583134677109	0.0234947436213792	0.921420583877252	-	+	-	-	-	-
NAA40	-0.575545309865238	0.0236160956412585	0.921420583877252	-	-	-	-	-	-
BUB3	-0.529544646062176	0.0236439791650942	0.921420583877252	-	-	-	-	-	-
SPON1	1.7862895526553	0.0239994018666094	0.921420583877252	-	+	-	-	-	-
